duration,orig_bytes,resp_bytes,proto
0.036512,40.0,168.0,1
0.012239,70.0,170.0,1
0.011547,35.0,119.0,1
0.036016,70.0,172.0,1
0.033924,35.0,115.0,1
0.012689,33.0,82.0,1
0.0,0.0,0.0,1
0.013653,26.0,94.0,1
0.013504,32.0,125.0,1
0.035054,64.0,256.0,1
0.013257,33.0,132.0,1
0.026532,66.0,324.0,1
0.012907,30.0,168.0,1
0.034453,60.0,286.0,1
0.042035,70.0,202.0,1
0.035171,35.0,128.0,1
0.020256,37.0,184.0,1
0.04698,74.0,434.0,1
0.044695,76.0,388.0,1
0.017856,38.0,183.0,1
0.093306,70.0,155.0,1
0.011423,35.0,104.0,1
0.012529,30.0,114.0,1
0.013156,66.0,398.0,1
0.012994,33.0,196.0,1
0.03821,66.0,354.0,1
0.01246,33.0,117.0,1
0.033344,64.0,260.0,1
0.010887,32.0,127.0,1
0.031338,74.0,310.0,1
0.038497,37.0,180.0,1
0.155465,2097.0,7078.0,0
0.061861,45.0,109.0,1
0.015127,45.0,157.0,1
0.030719,104.0,148.0,1
0.034789,68.0,316.0,1
0.076213,84.0,458.0,1
5.004841,99.0,179.0,1
0.067059,66.0,502.0,1
0.077768,82.0,450.0,1
0.068401,90.0,134.0,1
5.004663,99.0,179.0,1
0.071034,66.0,502.0,1
0.059154,80.0,250.0,1
0.06697,52.0,124.0,1
0.041328,82.0,450.0,1
0.347574,2118.0,4976.0,0
5.073476,124.0,445.0,1
0.421986,2101.0,5868.0,0
0.054844,58.0,346.0,1
0.049293,29.0,86.0,1
0.044295,76.0,120.0,1
0.093166,38.0,95.0,1
0.012348,35.0,60.0,1
0.042512,70.0,114.0,1
0.032868,37.0,87.0,1
0.046813,74.0,118.0,1
0.039844,64.0,108.0,1
0.012613,32.0,57.0,1
0.096777,90.0,134.0,1
0.013247,45.0,70.0,1
0.139395,3015.0,25330.0,0
0.93559,2567.0,5997.0,0
4.571575,12520.0,0.0,1
9.391409,15024.0,0.0,1
9.849031,15024.0,0.0,1
9.368866,15024.0,0.0,1
0.294359,2484.0,45967.0,0
0.72553,3427.0,12267.0,0
9.384255,15024.0,0.0,1
0.299177,2513.0,21766.0,0
10.148059,1896.0,0.0,0
14.888929,7785.0,2315498.0,0
9.57259,15024.0,0.0,1
0.192825,2506.0,8295.0,0
9.627892,15024.0,0.0,1
0.929305,4862.0,949286.0,0
0.414664,673.0,598526.0,0
19.489003,17528.0,0.0,1
0.485153,975.0,6118.0,0
0.084716,944.0,5394.0,0
18.442721,4643.0,748963.0,0
18.934323,17528.0,0.0,1
0.128126,2606.0,13145.0,0
6.010816,6763.0,367807.0,0
37.343412,3257.0,13093235.0,0
0.658955,2477.0,30816.0,0
0.525263,2374.0,5101.0,0
19.052177,17528.0,0.0,1
36.515379,5039.0,117364.0,0
29.376077,2531.0,5307.0,0
18.328714,2914.0,86904.0,0
22.093457,3902.0,9231.0,0
19.02969,17528.0,0.0,1
14.73004,31879.0,1072350.0,0
18.976515,17528.0,0.0,1
30.036811,11000.0,101786.0,0
42.008348,301.0,298.0,0
19.067419,17528.0,0.0,1
2.874391,3064.0,90792.0,0
0.741635,3153.0,7853.0,0
0.137493,2097.0,3734.0,0
0.218573,3221.0,6691.0,0
19.223191,17528.0,0.0,1
18.994216,17528.0,0.0,1
19.031562,17528.0,0.0,1
0.227866,2588.0,10621.0,0
0.069057,663.0,0.0,0
0.404263,2375.0,1528313.0,0
19.069468,17528.0,0.0,1
18.982676,17528.0,0.0,1
0.151639,788.0,6619.0,0
19.029571,17528.0,0.0,1
27.910634,1259.0,26294.0,0
0.241118,2510.0,7499.0,0
0.17424,2344.0,5083.0,0
19.002539,17528.0,0.0,1
19.009934,17528.0,0.0,1
21.33288,318.0,216.0,0
0.547845,2793.0,6515.0,0
18.973833,17528.0,0.0,1
10.878972,20060.0,8357.0,0
19.343785,17528.0,0.0,1
9.500679,15024.0,0.0,1
0.34335,3064.0,10909.0,0
3.227582,2777.0,165130.0,0
0.203982,2553.0,5000.0,0
0.571657,2012.0,1187.0,0
0.32392,2662.0,5457.0,0
0.216743,2542.0,8877.0,0
9.400471,15024.0,0.0,1
