0.036674	36	109	udp
0.034249	29	61	udp
0.014556	62	151	udp
0.011564	74	194	udp
0.011950	37	93	udp
0.073721	88	376	udp
0.011216	44	131	udp
0.041482	84	536	udp
0.037090	42	291	udp
0.012140	66	167	udp
0.012061	33	104	udp
0.013336	36	123	udp
0.083689	72	360	udp
0.040689	58	254	udp
0.012382	29	124	udp
0.679896	2739	7065588	tcp
0.122514	2097	7077	tcp
-	-	-	udp
0.036512	40	168	udp
0.012239	70	170	udp
0.011547	35	119	udp
0.036016	70	172	udp
0.033924	35	115	udp
0.012689	33	82	udp
-	-	-	udp
0.013653	26	94	udp
0.013504	32	125	udp
0.035054	64	256	udp
0.013257	33	132	udp
0.026532	66	324	udp
0.012907	30	168	udp
0.034453	60	286	udp
0.042035	70	202	udp
0.035171	35	128	udp
0.020256	37	184	udp
0.046980	74	434	udp
0.044695	76	388	udp
0.017856	38	183	udp
0.093306	70	155	udp
0.011423	35	104	udp
0.012529	30	114	udp
0.013156	66	398	udp
0.012994	33	196	udp
0.038210	66	354	udp
0.012460	33	117	udp
0.033344	64	260	udp
0.010887	32	127	udp
0.031338	74	310	udp
0.038497	37	180	udp
0.155465	2097	7078	tcp
0.061861	45	109	udp
0.015127	45	157	udp
0.030719	104	148	udp
0.034789	68	316	udp
0.076213	84	458	udp
5.004841	99	179	udp
0.067059	66	502	udp
0.077768	82	450	udp
0.068401	90	134	udp
5.004663	99	179	udp
0.071034	66	502	udp
0.059154	80	250	udp
0.066970	52	124	udp
0.041328	82	450	udp
0.347574	2118	4976	tcp
5.073476	124	445	udp
0.421986	2101	5868	tcp
0.054844	58	346	udp
0.049293	29	86	udp
0.044295	76	120	udp
0.093166	38	95	udp
0.012348	35	60	udp
0.042512	70	114	udp
0.032868	37	87	udp
0.046813	74	118	udp
0.039844	64	108	udp
0.012613	32	57	udp
0.096777	90	134	udp
0.013247	45	70	udp
0.139395	3015	25330	tcp
0.935590	2567	5997	tcp
4.571575	12520	0	udp
9.391409	15024	0	udp
9.849031	15024	0	udp
9.368866	15024	0	udp
0.294359	2484	45967	tcp
0.725530	3427	12267	tcp
9.384255	15024	0	udp
0.299177	2513	21766	tcp
10.148059	1896	0	tcp
